"year","week","name","value","week_abs"
2020,1,"ALBURY",2088,23
2020,1,"ARMIDALE",1005,23
2020,1,"BARGO",4189,23
2020,1,"BATHURST",1881,23
2020,1,"BERESFIELD",1531,23
2020,1,"BRINGELLY",1932,23
2020,1,"BULGA",783,23
2020,1,"CAMBERWELL",795,23
2020,1,"CAMDEN",2852,23
2020,1,"CARRINGTON",776,23
2020,1,"CHULLORA",1193,23
2020,1,"EARLWOOD",1113,23
2020,1,"GOULBURN",11580,23
2020,1,"GUNNEDAH",653,23
2020,1,"LIVERPOOL",445,23
2020,1,"NARRABRI",556,23
2020,1,"NEWCASTLE",764,23
2020,1,"OAKDALE",3512,23
2020,1,"ORANGE",2888,23
2020,1,"PROSPECT",1279,23
2020,1,"RANDWICK",1105,23
2020,1,"RICHMOND",1903,23
2020,1,"SINGLETON",804,23
2020,1,"STOCKTON",976,23
2020,1,"TAMWORTH",794,23
2020,1,"WARKWORTH",1011,23
2020,1,"WOLLONGONG",804,23
2020,1,"WYBONG",994,23
2020,1,"WYONG",1047,23
2020,2,"ABERDEEN",1033,24
2020,2,"ALBURY",2299,24
2020,2,"ARMIDALE",521,24
2020,2,"BARGO",2366,24
2020,2,"BATHURST",1318,24
2020,2,"BERESFIELD",851,24
2020,2,"BRINGELLY",2035,24
2020,2,"BULGA",623,24
2020,2,"CAMBERWELL",715,24
2020,2,"CAMDEN",2120,24
2020,2,"CARRINGTON",742,24
2020,2,"CHULLORA",1525,24
2020,2,"EARLWOOD",1387,24
2020,2,"GOULBURN",2799,24
2020,2,"GUNNEDAH",622,24
2020,2,"LIVERPOOL",832,24
2020,2,"NARRABRI",703,24
2020,2,"NEWCASTLE",799,24
2020,2,"OAKDALE",2310,24
2020,2,"ORANGE",1735,24
2020,2,"PROSPECT",1528,24
2020,2,"RANDWICK",1281,24
2020,2,"RICHMOND",1918,24
2020,2,"SINGLETON",658,24
2020,2,"STOCKTON",952,24
2020,2,"TAMWORTH",818,24
2020,2,"WARKWORTH",870,24
2020,2,"WOLLONGONG",1186,24
2020,2,"WYBONG",1359,24
2020,2,"WYONG",863,24
2020,3,"ABERDEEN",495,25
2020,3,"ALBURY",1212,25
2020,3,"ARMIDALE",199,25
2020,3,"BARGO",531,25
2020,3,"BATHURST",402,25
2020,3,"BERESFIELD",385,25
2020,3,"BRINGELLY",504,25
2020,3,"BULGA",176,25
2020,3,"CAMBERWELL",453,25
2020,3,"CAMDEN",479,25
2020,3,"CARRINGTON",415,25
2020,3,"CHULLORA",536,25
2020,3,"EARLWOOD",574,25
2020,3,"GOULBURN",759,25
2020,3,"GUNNEDAH",575,25
2020,3,"LIVERPOOL",403,25
2020,3,"NARRABRI",471,25
2020,3,"NEWCASTLE",406,25
2020,3,"OAKDALE",523,25
2020,3,"ORANGE",514,25
2020,3,"PROSPECT",538,25
2020,3,"RANDWICK",631,25
2020,3,"RICHMOND",563,25
2020,3,"SINGLETON",391,25
2020,3,"STOCKTON",564,25
2020,3,"TAMWORTH",448,25
2020,3,"WARKWORTH",479,25
2020,3,"WOLLONGONG",420,25
2020,3,"WYBONG",487,25
2020,3,"WYONG",470,25
2020,4,"ABERDEEN",511,26
2020,4,"ALBURY",348,26
2020,4,"ARMIDALE",181,26
2020,4,"BARGO",1403,26
2020,4,"BATHURST",1122,26
2020,4,"BERESFIELD",745,26
2020,4,"BRINGELLY",1207,26
2020,4,"BULGA",593,26
2020,4,"CAMBERWELL",524,26
2020,4,"CAMDEN",1275,26
