"week","name","state","DOY","value"
8,"X20022003","New South Wales",371,256
8,"X20022003","Queensland",371,360
8,"X20022003","Victoria",371,9.2
8,"X20032004","New South Wales",371,122
8,"X20032004","Queensland",371,710
8,"X20032004","Victoria",371,8.4
8,"X20042005","New South Wales",371,276
8,"X20042005","Queensland",371,968
8,"X20042005","Victoria",371,24.2
8,"X20052006","New South Wales",371,324.1
8,"X20052006","Queensland",371,1664
8,"X20052006","Victoria",371,2.5
8,"X20062007","New South Wales",371,646
8,"X20062007","Queensland",371,2182
8,"X20062007","Victoria",371,7.4
8,"X20072008","New South Wales",371,71
8,"X20072008","Queensland",371,178
8,"X20072008","Victoria",371,12.2
8,"X20082009","New South Wales",371,254
8,"X20082009","Queensland",371,920
8,"X20082009","Victoria",371,5.5
8,"X20092010","New South Wales",371,488
8,"X20092010","Queensland",371,1700
8,"X20092010","Victoria",371,21.2
8,"X20102011","New South Wales",371,114.1
8,"X20102011","Queensland",371,909
8,"X20102011","Victoria",371,6.5
8,"X20112012","New South Wales",371,132.1
8,"X20112012","Queensland",371,2024
8,"X20112012","Victoria",371,8.4
8,"X20122013","New South Wales",371,231
8,"X20122013","Queensland",371,1308
8,"X20122013","Victoria",371,2.5
8,"X20132014","New South Wales",371,425
8,"X20132014","Queensland",371,1170
8,"X20132014","Victoria",371,1.6
8,"X20142015","New South Wales",371,70
8,"X20142015","Queensland",371,917
8,"X20142015","Victoria",371,17.4
8,"X20152016","New South Wales",371,196
8,"X20152016","Queensland",371,599
8,"X20152016","Victoria",371,14.3
8,"X20162017","New South Wales",371,98.1
8,"X20162017","Queensland",371,633
8,"X20162017","Victoria",371,9.6
8,"X20172018","New South Wales",371,433
8,"X20172018","Queensland",371,1059
8,"X20172018","Victoria",371,2.5
8,"X20182019","New South Wales",371,667
8,"X20182019","Queensland",371,1326
8,"X20182019","Victoria",371,21.3
8,"X20192020","New South Wales",371,442
8,"X20192020","Queensland",371,1123
8,"X20192020","Victoria",371,10.3
9,"X20022003","New South Wales",420,277
9,"X20022003","Queensland",420,1116
9,"X20022003","Victoria",420,33.1
9,"X20032004","New South Wales",420,363
9,"X20032004","Queensland",420,1004
9,"X20032004","Victoria",420,1.6
9,"X20042005","New South Wales",420,282
9,"X20042005","Queensland",420,660
9,"X20042005","Victoria",420,24.3
9,"X20052006","New South Wales",420,328
9,"X20052006","Queensland",420,1517
9,"X20052006","Victoria",420,8.4
9,"X20062007","New South Wales",420,180
9,"X20062007","Queensland",420,1468
9,"X20062007","Victoria",420,44.3
9,"X20072008","New South Wales",420,267
9,"X20072008","Queensland",420,709
9,"X20072008","Victoria",420,47.1
9,"X20082009","New South Wales",420,187
9,"X20082009","Queensland",420,749
9,"X20082009","Victoria",420,13.3
9,"X20092010","New South Wales",420,655
9,"X20092010","Queensland",420,1302
9,"X20092010","Victoria",420,10.2
9,"X20102011","New South Wales",420,245
9,"X20102011","Queensland",420,705
9,"X20102011","Victoria",420,1.6
9,"X20112012","New South Wales",420,157
9,"X20112012","Queensland",420,3004
9,"X20112012","Victoria",420,17.1
9,"X20122013","New South Wales",420,316
9,"X20122013","Queensland",420,2229
9,"X20122013","Victoria",420,8.5
9,"X20132014","New South Wales",420,556
9,"X20132014","Queensland",420,1100
9,"X20132014","Victoria",420,6.4
9,"X20142015","New South Wales",420,141
9,"X20142015","Queensland",420,1672
9,"X20142015","Victoria",420,71.2
9,"X20152016","New South Wales",420,103
9,"X20152016","Queensland",420,843
