"DOY","State","name","value"
43,"New South Wales","X20102011",2
43,"New South Wales","X20112012",18
43,"New South Wales","X20122013",22
43,"New South Wales","X20132014",47
43,"New South Wales","X20142015",29
43,"New South Wales","X20152016",22
43,"New South Wales","X20162017",16
43,"New South Wales","X20172018",42
43,"New South Wales","X20182019",56
43,"New South Wales","X20192020",104
44,"New South Wales","X20022003",135
44,"New South Wales","X20032004",7
44,"New South Wales","X20042005",73
44,"New South Wales","X20052006",40
44,"New South Wales","X20062007",61
44,"New South Wales","X20072008",58
44,"New South Wales","X20082009",45
44,"New South Wales","X20092010",48
44,"New South Wales","X20102011",8
44,"New South Wales","X20112012",12
44,"New South Wales","X20122013",26
44,"New South Wales","X20132014",23
44,"New South Wales","X20142015",86
44,"New South Wales","X20152016",71
44,"New South Wales","X20162017",18
44,"New South Wales","X20172018",80
44,"New South Wales","X20182019",91
44,"New South Wales","X20192020",106
45,"New South Wales","X20022003",77
45,"New South Wales","X20032004",20
45,"New South Wales","X20042005",24
45,"New South Wales","X20052006",24
45,"New South Wales","X20062007",65
45,"New South Wales","X20072008",37
45,"New South Wales","X20082009",34
45,"New South Wales","X20092010",54
45,"New South Wales","X20102011",0.1
45,"New South Wales","X20112012",23
45,"New South Wales","X20122013",24
45,"New South Wales","X20132014",35
45,"New South Wales","X20142015",58
45,"New South Wales","X20152016",40
45,"New South Wales","X20162017",39
45,"New South Wales","X20172018",50
45,"New South Wales","X20182019",103
45,"New South Wales","X20192020",75
46,"New South Wales","X20022003",98
46,"New South Wales","X20032004",14
46,"New South Wales","X20042005",64
46,"New South Wales","X20052006",36
46,"New South Wales","X20062007",95
46,"New South Wales","X20072008",33
46,"New South Wales","X20082009",66
46,"New South Wales","X20092010",61
46,"New South Wales","X20102011",25
46,"New South Wales","X20112012",6
46,"New South Wales","X20122013",21
46,"New South Wales","X20132014",45
46,"New South Wales","X20142015",75
46,"New South Wales","X20152016",31
46,"New South Wales","X20162017",16
46,"New South Wales","X20172018",77
46,"New South Wales","X20182019",251
46,"New South Wales","X20192020",69
47,"New South Wales","X20022003",64
47,"New South Wales","X20032004",9
47,"New South Wales","X20042005",23
47,"New South Wales","X20052006",29
47,"New South Wales","X20062007",97
47,"New South Wales","X20072008",4
47,"New South Wales","X20082009",26
47,"New South Wales","X20092010",86
47,"New South Wales","X20102011",9
47,"New South Wales","X20112012",28
47,"New South Wales","X20122013",60
47,"New South Wales","X20132014",104
47,"New South Wales","X20142015",0.1
47,"New South Wales","X20152016",17
47,"New South Wales","X20162017",45
47,"New South Wales","X20172018",168
47,"New South Wales","X20182019",138
47,"New South Wales","X20192020",46
48,"New South Wales","X20022003",34
48,"New South Wales","X20032004",7
48,"New South Wales","X20042005",36
48,"New South Wales","X20052006",81
48,"New South Wales","X20062007",41
48,"New South Wales","X20072008",6
48,"New South Wales","X20082009",38
48,"New South Wales","X20092010",71
48,"New South Wales","X20102011",42
48,"New South Wales","X20112012",0.1
48,"New South Wales","X20122013",39
48,"New South Wales","X20132014",18
48,"New South Wales","X20142015",1
48,"New South Wales","X20152016",43
48,"New South Wales","X20162017",39
48,"New South Wales","X20172018",133
48,"New South Wales","X20182019",84
48,"New South Wales","X20192020",65
49,"New South Wales","X20022003",12
49,"New South Wales","X20032004",5
49,"New South Wales","X20042005",9
